category	difficulity	keyword
実在する日本人	多くの人が知っている	田村正和（俳優）
実在する日本人	多くの人が知っている	三浦春馬（俳優）
実在する日本人	多くの人が知っている	田中将大（野球選手）
実在する日本人	多くの人が知っている	石田純一（俳優）
実在する日本人	多くの人が知っている	浜崎あゆみ（歌手）
実在する日本人	多くの人が知っている	三浦友和（俳優）
実在する日本人	多くの人が知っている	田中みな実（タレント）
実在する日本人	多くの人が知っている	浜田ブリトニー（タレント）
実在する日本人	多くの人が知っている	石原良純（俳優）
実在する日本人	多くの人が知っている	浜田省吾（歌手）
実在する日本人	多くの人が知っている	横山だいすけ（コメディアン）
実在する日本人	多くの人が知っている	松本人志（お笑いタレント）
実在する日本人	多くの人が知っている	浅田真央（フィギュアスケーター）
実在する日本人	多くの人が知っている	桂歌丸（落語家）
実在する日本人	多くの人が知っている	石原慎太郎（政治家）
実在する日本人	多くの人が知っている	桐谷美玲（女優）
実在する日本人	多くの人が知っている	松岡修造（元テニス選手）
実在する日本人	多くの人が知っている	羽生結弦（フィギュアスケーター）
実在する日本人	多くの人が知っている	坂本龍馬（幕末の志士）
実在する日本人	多くの人が知っている	本田圭佑（サッカー選手）
実在する日本人	多くの人が知っている	浜田雅功（お笑いタレント）
実在する日本人	多くの人が知っている	樋口一葉（小説家）
実在する日本人	多くの人が知っている	石原裕次郎（俳優）
実在する日本人	多くの人が知っている	西郷隆盛（幕末の志士）
実在する日本人	多くの人が知っている	岡本太郎（芸術家）
実在する日本人	多くの人が知っている	高畑充希（女優）
実在する日本人	多くの人が知っている	田中角栄（政治家）
実在する日本人	多くの人が知っている	森鴎外（小説家）
実在する日本人	多くの人が知っている	高杉晋作（幕末の志士）
実在する日本人	多くの人が知っている	長渕剛（歌手）
実在する日本人	多くの人が知っている	大塚愛（歌手）
実在する日本人	多くの人が知っている	井上ひさし（劇作家）
実在する日本人	多くの人が知っている	田村淳（お笑いタレント）
実在する日本人	多くの人が知っている	野村克也（野球選手）
実在する日本人	多くの人が知っている	松任谷由実（歌手）
実在する日本人	多くの人が知っている	清原和博（野球選手）
実在する日本人	多くの人が知っている	桑田佳祐（歌手）
実在する日本人	多くの人が知っている	有村架純（女優）
実在する日本人	多くの人が知っている	石原さとみ（女優）
実在する日本人	多くの人が知っている	美空ひばり（歌手）
実在する日本人	多くの人が知っている	伊達政宗（武将）
実在する日本人	多くの人が知っている	豊臣秀吉（武将）
実在する日本人	多くの人が知っている	徳川家康（武将）
実在する日本人	多くの人が知っている	織田信長（武将）
実在する日本人	多くの人が知っている	松下幸之助（実業家）
実在する日本人	多くの人が知っている	西尾勝（プロボクサー）
実在する日本人	多くの人が知っている	安室奈美恵（歌手）
実在する日本人	多くの人が知っている	木村拓哉（俳優）
実在する日本人	多くの人が知っている	高橋一生（俳優）
実在する日本人	多くの人が知っている	新垣結衣（女優）
実在する日本人	多くの人が知っている	広瀬すず（女優）
実在する日本人	多くの人が知っている	吉田沙保里（レスリング選手）
実在する日本人	多くの人が知っている	福原愛（卓球選手）
実在する日本人	多くの人が知っている	石川佳純（卓球選手）
実在する日本人	多くの人が知っている	源義経（武将）
実在する日本人	多くの人が知っている	平清盛（武将）
実在する日本人	多くの人が知っている	徳川家光（武将）
実在する日本人	多くの人が知っている	徳川綱吉（武将）
実在する日本人	多くの人が知っている	竹中平蔵（経済学者）
実在する日本人	多くの人が知っている	小泉純一郎（政治家）
実在する日本人	多くの人が知っている	石原伸晃（政治家）
実在する日本人	多くの人が知っている	橋下徹（政治家）
実在する日本人	多くの人が知っている	森喜朗（政治家）
実在する日本人	多くの人が知っている	竹中直人（俳優）
実在する日本人	多くの人が知っている	長瀬智也（歌手）
実在する日本人	多くの人が知っている	松田聖子（歌手）
実在する漫画やアニメのキャラクター	多くの人が知っている	モンキー・D・ルフィ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	うずまきナルト（NARUTO -ナルト-）
実在する漫画やアニメのキャラクター	多くの人が知っている	うちはサスケ（NARUTO -ナルト-）
実在する漫画やアニメのキャラクター	多くの人が知っている	孫悟空（ドラゴンボール）
実在する漫画やアニメのキャラクター	多くの人が知っている	ベジータ（ドラゴンボール）
実在する漫画やアニメのキャラクター	多くの人が知っている	フリーザ（ドラゴンボール）
実在する漫画やアニメのキャラクター	多くの人が知っている	ピカチュウ（ポケットモンスター）
実在する漫画やアニメのキャラクター	多くの人が知っている	阿良々木暦（化物語）
実在する漫画やアニメのキャラクター	多くの人が知っている	碇シンジ（新世紀エヴァンゲリオン）
実在する漫画やアニメのキャラクター	多くの人が知っている	トトロ（となりのトトロ）
実在する漫画やアニメのキャラクター	多くの人が知っている	ハウル（ハウルの動く城）
実在する漫画やアニメのキャラクター	多くの人が知っている	夜神月（DEATH NOTE）
実在する漫画やアニメのキャラクター	多くの人が知っている	L（DEATH NOTE）
実在する漫画やアニメのキャラクター	多くの人が知っている	アスカ・ラングレー（新世紀エヴァンゲリオン）
実在する漫画やアニメのキャラクター	多くの人が知っている	セーラームーン（美少女戦士セーラームーン）
実在する漫画やアニメのキャラクター	多くの人が知っている	しんのすけ（クレヨンしんちゃん）
実在する漫画やアニメのキャラクター	多くの人が知っている	ドラえもん（ドラえもん）
実在する漫画やアニメのキャラクター	多くの人が知っている	のび太（ドラえもん）
実在する漫画やアニメのキャラクター	多くの人が知っている	しずかちゃん（ドラえもん）
実在する漫画やアニメのキャラクター	多くの人が知っている	ジャイアン（ドラえもん）
実在する漫画やアニメのキャラクター	多くの人が知っている	スネ夫（ドラえもん）
実在する漫画やアニメのキャラクター	多くの人が知っている	江戸川コナン（名探偵コナン）
実在する漫画やアニメのキャラクター	多くの人が知っている	毛利蘭（名探偵コナン）
実在する漫画やアニメのキャラクター	多くの人が知っている	ボーボボ（ボボボーボ・ボーボボ）
実在する漫画やアニメのキャラクター	多くの人が知っている	ジョジョ（ジョジョの奇妙な冒険）
実在する漫画やアニメのキャラクター	多くの人が知っている	ディオ（ジョジョの奇妙な冒険）
実在する漫画やアニメのキャラクター	多くの人が知っている	ゴン（ハンター×ハンター）
実在する漫画やアニメのキャラクター	多くの人が知っている	キルア（ハンター×ハンター）
実在する漫画やアニメのキャラクター	多くの人が知っている	レオリオ（ハンター×ハンター）
実在する漫画やアニメのキャラクター	多くの人が知っている	クラピカ（ハンター×ハンター）
実在する漫画やアニメのキャラクター	多くの人が知っている	ヒソカ（ハンター×ハンター）
実在する漫画やアニメのキャラクター	多くの人が知っている	クロロ・ルシルフル（ハンター×ハンター）
実在する漫画やアニメのキャラクター	多くの人が知っている	ネフェルピトー（ハンター×ハンター）
実在する漫画やアニメのキャラクター	多くの人が知っている	ナミ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	サンジ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	チョッパー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ロビン（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	フランキー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ブルック（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	シャンクス（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ゴール・D・ロジャー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ポートガス・D・エース（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	サボ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	トラファルガー・ロー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	バギー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ドフラミンゴ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	コビー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	スモーカー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ガープ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ロロノア・ゾロ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	フランキー（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ウソップ（ONE PIECE）
実在する漫画やアニメのキャラクター	多くの人が知っている	ハク（千と千尋の神隠し）
実在する漫画やアニメのキャラクター	多くの人が知っている	千尋（千と千尋の神隠し）
実在する漫画やアニメのキャラクター	多くの人が知っている	カオナシ（千と千尋の神隠し）
実在する漫画やアニメのキャラクター	多くの人が知っている	ハウル（ハウルの動く城）
実在する漫画やアニメのキャラクター	多くの人が知っている	ソフィー（ハウルの動く城）
実在する漫画やアニメのキャラクター	多くの人が知っている	カルシファー（ハウルの動く城）
実在する漫画やアニメのキャラクター	多くの人が知っている	ナウシカ（風の谷のナウシカ）
実在する漫画やアニメのキャラクター	多くの人が知っている	シータ（天空の城ラピュタ）
実在する漫画やアニメのキャラクター	多くの人が知っている	パズー（天空の城ラピュタ）
実在する漫画やアニメのキャラクター	多くの人が知っている	メイ（となりのトトロ）
実在する漫画やアニメのキャラクター	多くの人が知っている	サツキ（となりのトトロ）
実在する漫画やアニメのキャラクター	多くの人が知っている	ジジ（魔女の宅急便）
実在する漫画やアニメのキャラクター	多くの人が知っている	キキ（魔女の宅急便）
実在する漫画やアニメのキャラクター	多くの人が知っている	トムボ（魔女の宅急便）
実在する漫画やアニメのキャラクター	多くの人が知っている	ポニョ（崖の上のポニョ）
実在する漫画やアニメのキャラクター	多くの人が知っている	ソスケ（崖の上のポニョ）
実在する漫画やアニメのキャラクター	多くの人が知っている	エレン（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	ミカサ（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	アルミン（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	ユミル（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	ジャン（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	コニー（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	サシャ・ブラウス（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	ハンジ・ゾエ（進撃の巨人）
実在する漫画やアニメのキャラクター	多くの人が知っている	レイ（約束のネバーランド）
実在する漫画やアニメのキャラクター	多くの人が知っている	エマ（約束のネバーランド）
実在する漫画やアニメのキャラクター	多くの人が知っている	竈門炭治郎（鬼滅の刃）
実在する漫画やアニメのキャラクター	多くの人が知っている	竈門禰󠄀豆子（鬼滅の刃）
実在する漫画やアニメのキャラクター	多くの人が知っている	冨岡義勇（鬼滅の刃）
実在する漫画やアニメのキャラクター	多くの人が知っている	煉獄杏寿郎（鬼滅の刃）
実在する漫画やアニメのキャラクター	多くの人が知っている	サイタマ（ワンパンマン）
実在する漫画やアニメのキャラクター	多くの人が知っている	タツマキ（ワンパンマン）
実在する漫画やアニメのキャラクター	多くの人が知っている	アトム（アトム）
実在するゲームのキャラクター	多くの人が知っている	マリオ（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	ピーチ姫（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	デイジー姫（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	ロゼッタ姫（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	ルイージ（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	ヨッシー（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	ワリオ（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	クッパ（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	クッパJr.（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	ベビィマリオ（スーパーマリオ）
実在するゲームのキャラクター	多くの人が知っている	ドンキーコング（ドンキーコング）
実在するゲームのキャラクター	多くの人が知っている	サムス・アラン（メトロイド）
実在するゲームのキャラクター	多くの人が知っている	リドリー（メトロイド）
実在するゲームのキャラクター	多くの人が知っている	リンク（ゼルダの伝説）
実在するゲームのキャラクター	多くの人が知っている	ゼルダ姫（ゼルダの伝説）
実在するゲームのキャラクター	多くの人が知っている	ガノンドロフ（ゼルダの伝説）
実在するゲームのキャラクター	多くの人が知っている	ミドナ（ゼルダの伝説）
実在するゲームのキャラクター	多くの人が知っている	テトラ（ゼルダの伝説）
実在するゲームのキャラクター	多くの人が知っている	シーク（ゼルダの伝説）
実在するゲームのキャラクター	多くの人が知っている	ファイ（ゼルダの伝説）
実在するゲームのキャラクター	多くの人が知っている	ピカチュウ（ポケモン）
実在するゲームのキャラクター	多くの人が知っている	ソニック（ソニック・ザ・ヘッジホッグ）
実在するゲームのキャラクター	多くの人が知っている	クラッシュ・バンディクー（クラッシュ・バンディクー）
実在するゲームのキャラクター	多くの人が知っている	ロックマン（ロックマン）
実在するゲームのキャラクター	多くの人が知っている	ドクターワイリー（ロックマン）
実在するゲームのキャラクター	多くの人が知っている	ドクターライト（ロックマン）
実在するゲームのキャラクター	多くの人が知っている	パックマン（パックマン）
実在するゲームのキャラクター	多くの人が知っている	クラウド・ストライフ（ファイナルファンタジーVII）
実在するゲームのキャラクター	多くの人が知っている	エアリス・ゲインズブール（ファイナルファンタジーVII）
実在するゲームのキャラクター	多くの人が知っている	ティーダ（ファイナルファンタジーX）
実在するゲームのキャラクター	多くの人が知っている	ユウナ（ファイナルファンタジーX）
実在するゲームのキャラクター	多くの人が知っている	ライトニング（ファイナルファンタジーXIII）
実在するゲームのキャラクター	多くの人が知っている	カービィ（カービィの冒険）
実在するゲームのキャラクター	多くの人が知っている	メタナイト（カービィの冒険）
実在するゲームのキャラクター	多くの人が知っている	デデデ大王（カービィの冒険）
実在するゲームのキャラクター	多くの人が知っている	ピット（パルテナの鏡）
実在するゲームのキャラクター	多くの人が知っている	パルテナ（パルテナの鏡）
実在するゲームのキャラクター	多くの人が知っている	バンジョー（バンジョーとカズーイの大冒険）
実在するゲームのキャラクター	多くの人が知っている	カズーイ（バンジョーとカズーイの大冒険）
実在するゲームのキャラクター	多くの人が知っている	グランチルダ（バンジョーとカズーイの大冒険）
実在するゲームのキャラクター	多くの人が知っている	マスターハンド（スマッシュブラザーズ）
実在するVTuber	多くの人が知っている	兎田ぺこら（ホロライブ）
実在するVTuber	多くの人が知っている	宝鐘マリン（ホロライブ）
実在するVTuber	多くの人が知っている	星街すいせい（ホロライブ）
実在するVTuber	多くの人が知っている	月ノ美兎（にじさんじ）
実在するVTuber	多くの人が知っている	椎名唯華（にじさんじ）
実在するVTuber	多くの人が知っている	キズナアイ（upd8）
実在するVTuber	多くの人が知っている	シスター・クレア（にじさんじ）
